时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅
2017-01-03,2731,2770,2656,2667,-110,-3.9611
2017-01-04,2688,2704,2632,2670,-37,-1.3668
2017-01-05,2668,2688,2650,2661,-6,-0.225
2017-01-06,2662,2705,2636,2646,-22,-0.8246
2017-01-09,2650,2718,2640,2716,45,1.6848
2017-01-10,2705,2744,2650,2713,39,1.4585
2017-01-11,2710,2752,2678,2690,-6,-0.2226
2017-01-12,2682,2763,2670,2741,25,0.9205
2017-01-13,2755,2773,2732,2759,36,1.3221
2017-01-16,2751,2888,2748,2870,120,4.3636
2017-01-17,2877,2884,2802,2831,11,0.3901
2017-01-18,2845,2859,2806,2838,-6,-0.211
2017-01-19,2824,2830,2765,2793,-43,-1.5162
2017-01-20,2790,2844,2789,2803,9,0.3221
2017-01-23,2807,2875,2781,2848,32,1.1364
2017-01-24,2846,2879,2841,2855,24,0.8478
2017-01-25,2860,2948,2827,2935,77,2.6942
2017-01-26,2929,2940,2903,2929,38,1.3144
2017-02-03,2992,2992,2880,2915,-5,-0.1712
2017-02-06,2914,2947,2896,2929,8,0.2739
2017-02-07,2943,2969,2930,2943,20,0.6842
2017-02-08,2945,2963,2919,2940,-12,-0.4065
2017-02-09,2943,2985,2912,2920,-17,-0.5788
2017-02-10,2920,2957,2890,2944,-2,-0.0679
2017-02-13,2957,3057,2948,3045,122,4.1738
2017-02-14,3042,3107,3020,3106,97,3.2237
2017-02-15,3106,3128,3060,3069,16,0.5241
2017-02-16,3060,3119,3022,3040,-53,-1.7135
2017-02-17,3030,3100,3011,3047,-28,-0.9106
2017-02-20,3047,3095,3030,3056,1,0.0327
2017-02-21,3058,3078,2950,2963,-92,-3.0115
2017-02-22,2973,2979,2928,2960,-55,-1.8242
2017-02-23,2955,2971,2865,2883,-73,-2.4696
2017-02-24,2894,2936,2882,2933,6,0.205
2017-02-27,2929,2995,2910,2976,68,2.3384
2017-02-28,2976,2978,2890,2909,-41,-1.3898
2017-03-01,2908,2922,2850,2878,-52,-1.7747
2017-03-02,2879,2898,2830,2857,-31,-1.0734
2017-03-03,2852,2876,2828,2860,-6,-0.2094
2017-03-06,2860,2881,2820,2829,-24,-0.8412
2017-03-07,2831,2862,2829,2849,-5,-0.1752
2017-03-08,2850,2860,2762,2776,-69,-2.4253
2017-03-09,2776,2788,2693,2727,-78,-2.7807
2017-03-10,2711,2753,2697,2731,-6,-0.2192
2017-03-13,2735,2750,2603,2701,-30,-1.0985
2017-03-14,2698,2719,2649,2662,-8,-0.2996
2017-03-15,2645,2734,2641,2720,35,1.3035
2017-03-16,2721,2738,2662,2679,-19,-0.7042
2017-03-17,2680,2710,2650,2675,-19,-0.7053
2017-03-20,2680,2697,2620,2633,-45,-1.6804
2017-03-21,2629,2647,2560,2571,-87,-3.2731
2017-03-22,2573,2582,2523,2530,-76,-2.9163
2017-03-23,2532,2554,2490,2526,-22,-0.8634
2017-03-24,2520,2561,2511,2547,21,0.8314
2017-03-27,2545,2557,2457,2481,-59,-2.3228
2017-03-28,2475,2543,2473,2515,13,0.5196
2017-03-29,2529,2574,2506,2552,37,1.4712
2017-03-30,2554,2585,2537,2554,14,0.5512
2017-03-31,2552,2616,2552,2575,19,0.7433
2017-04-05,2579,2653,2554,2649,65,2.5155
2017-04-06,2660,2675,2626,2661,56,2.1497
2017-04-07,2670,2722,2636,2684,34,1.283
2017-04-10,2586,2595,2501,2533,-144,-5.3792
2017-04-11,2535,2548,2465,2475,-57,-2.2512
2017-04-12,2479,2497,2432,2466,-45,-1.7921
2017-04-13,2466,2493,2410,2468,-2,-0.081
2017-04-14,2467,2488,2373,2389,-60,-2.45
2017-04-17,2387,2432,2362,2391,-38,-1.5644
2017-04-18,2393,2406,2342,2376,-27,-1.1236
2017-04-19,2368,2414,2332,2402,29,1.2221
2017-04-20,2400,2418,2338,2396,10,0.4191
2017-04-21,2394,2425,2364,2382,4,0.1682
2017-04-24,2379,2380,2324,2362,-37,-1.5423
2017-04-25,2358,2374,2339,2346,-9,-0.3822
2017-04-26,2345,2387,2326,2370,16,0.6797
2017-04-27,2368,2396,2359,2395,37,1.5691
2017-04-28,2388,2419,2382,2396,17,0.7146
2017-05-02,2394,2402,2351,2399,-2,-0.0833
2017-05-03,2400,2418,2375,2380,-3,-0.1259
2017-05-04,2370,2372,2277,2277,-120,-5.0063
2017-05-05,2270,2287,2224,2231,-86,-3.7117
2017-05-08,2239,2272,2235,2248,-9,-0.3988
2017-05-09,2245,2260,2228,2249,-1,-0.0444
2017-05-10,2247,2266,2206,2227,-21,-0.9342
2017-05-11,2220,2251,2192,2245,13,0.5824
2017-05-12,2253,2254,2202,2207,-12,-0.5408
2017-05-15,2207,2263,2196,2255,33,1.4851
2017-05-16,2268,2289,2245,2287,52,2.3266
2017-05-17,2291,2320,2290,2312,50,2.2104
2017-05-18,2314,2335,2264,2278,-28,-1.2142
2017-05-19,2256,2402,2250,2402,115,5.0284
2017-05-22,2408,2445,2382,2399,52,2.2156
2017-05-23,2402,2426,2366,2380,-34,-1.4085
2017-05-24,2381,2398,2330,2360,-40,-1.6667
2017-05-25,2357,2433,2348,2419,49,2.0675
